feature,Major,Peripheral
h,-0.010208954007264348,-0.01786249135925187
o3,0.3683519477243017,0.5048669644292977
p,0.715731895669934,0.605287512975494
pm10,0.4448022361692725,0.5642087891872554
r,-0.08496548963694195,-0.04765453893590293
t,1.1277731573320708,0.46094744972650126
w,-4.0271855034330315,-1.9109594780370924
pm25_lag1,0.3591503393502171,0.46335772345002607
pm25_lag2,-0.02070293306976698,-0.006892788002646902
pm25_lag3,0.0013041289851522288,-0.030067444454749317
pm25_lag4,0.05225847497416468,0.0009419002499840471
pm25_lag5,-0.037606366290455905,0.021853551818843246
